level_0,index,competition_name,competition_link,competition_tabindex,discipline_link,Event number,Event,Category,Minimum,Start Time,Total Entries,Total Participants,results_link,competition_link_check,results_link_check,TotalParticipantsInt,Date,Year,Time,Status
10,10,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,11,50m Breaststroke,Women 10-99,00:00.00,06/10/2023 10:57:00,15,15,/LeagueTable/AthleticsDisciplineResults/41428?isModal=True,1,1,15,2023-10-06 00:00:00,2023,10:57:00,Passed
11,11,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,12,50m Breaststroke,Men 10-99,00:00.00,06/10/2023 11:01:00,33,31,/LeagueTable/AthleticsDisciplineResults/41424?isModal=True,1,1,31,2023-10-06 00:00:00,2023,11:01:00,Passed
12,12,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,13,100m Butterfly,Women 12-99,00:00.00,06/10/2023 11:11:00,2,2,/LeagueTable/AthleticsDisciplineResults/41439?isModal=True,1,1,2,2023-10-06 00:00:00,2023,11:11:00,Passed
13,13,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,14,100m Butterfly,Men 12-99,00:00.00,06/10/2023 11:14:00,7,7,/LeagueTable/AthleticsDisciplineResults/41434?isModal=True,1,1,7,2023-10-06 00:00:00,2023,11:14:00,Passed
14,14,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,15,50m Freestyle,Women 10-99,00:00.00,06/10/2023 11:17:00,28,28,/LeagueTable/AthleticsDisciplineResults/41427?isModal=True,1,1,28,2023-10-06 00:00:00,2023,11:17:00,Passed
15,15,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,16,50m Freestyle,Men 10-99,00:00.00,06/10/2023 11:23:00,44,44,/LeagueTable/AthleticsDisciplineResults/41423?isModal=True,1,1,44,2023-10-06 00:00:00,2023,11:23:00,Passed
16,16,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,17,100m Individual Medley,Women 12-99,00:00.00,06/10/2023 11:32:00,13,13,/LeagueTable/AthleticsDisciplineResults/41438?isModal=True,1,1,13,2023-10-06 00:00:00,2023,11:32:00,Passed
17,17,גביע ארזי הלבנון,comp.asp?compID=454,25,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9453,18,100m Individual Medley,Men 12-99,00:00.00,06/10/2023 11:38:00,26,25,/LeagueTable/AthleticsDisciplineResults/41433?isModal=True,1,1,25,2023-10-06 00:00:00,2023,11:38:00,Passed
117,117,"ליגה אזורית ימק""א 1",comp.asp?compID=459,30,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9464,1,50m Freestyle,Women 26-99,00:00.00,20/10/2023 13:00:00,4,3,/LeagueTable/AthleticsDisciplineResults/41555?isModal=True,1,1,3,2023-10-20 00:00:00,2023,13:00:00,Passed
118,118,"ליגה אזורית ימק""א 1",comp.asp?compID=459,30,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9464,2,50m Freestyle,Man 26-99,00:00.00,20/10/2023 13:01:30,12,11,/LeagueTable/AthleticsDisciplineResults/41553?isModal=True,1,1,11,2023-10-20 00:00:00,2023,13:01:30,Passed
119,119,"ליגה אזורית ימק""א 1",comp.asp?compID=459,30,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9464,3,50m Freestyle,Women 8-25,00:00.00,20/10/2023 13:04:30,43,43,/LeagueTable/AthleticsDisciplineResults/41554?isModal=True,1,1,43,2023-10-20 00:00:00,2023,13:04:30,Passed
120,120,"ליגה אזורית ימק""א 1",comp.asp?compID=459,30,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9464,4,50m Freestyle,Man 8-25,00:00.00,20/10/2023 13:13:30,43,43,/LeagueTable/AthleticsDisciplineResults/41556?isModal=True,1,1,43,2023-10-20 00:00:00,2023,13:13:30,Passed
121,121,"ליגה אזורית ימק""א 1",comp.asp?compID=459,30,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9464,5,50m Breaststroke,Girls 8-99,00:00.00,20/10/2023 13:22:30,10,10,/LeagueTable/AthleticsDisciplineResults/41563?isModal=True,1,1,10,2023-10-20 00:00:00,2023,13:22:30,Passed
122,122,"ליגה אזורית ימק""א 1",comp.asp?compID=459,30,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9464,6,50m Breaststroke,Boys 8-99,00:00.00,20/10/2023 13:25:30,11,11,/LeagueTable/AthleticsDisciplineResults/41559?isModal=True,1,1,11,2023-10-20 00:00:00,2023,13:25:30,Passed
123,123,"ליגה אזורית ימק""א 1",comp.asp?compID=459,30,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9464,7,50m Backstroke,Girls 8-99,00:00.00,20/10/2023 13:28:30,4,4,/LeagueTable/AthleticsDisciplineResults/41562?isModal=True,1,1,4,2023-10-20 00:00:00,2023,13:28:30,Passed
124,124,"ליגה אזורית ימק""א 1",comp.asp?compID=459,30,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9464,8,50m Backstroke,Boys 8-99,00:00.00,20/10/2023 13:30:00,16,16,/LeagueTable/AthleticsDisciplineResults/41558?isModal=True,1,1,16,2023-10-20 00:00:00,2023,13:30:00,Passed
125,125,"ליגה אזורית ימק""א 1",comp.asp?compID=459,30,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9464,9,200m Butterfly,Girls 8-99,00:00.00,20/10/2023 13:33:00,1,1,/LeagueTable/AthleticsDisciplineResults/41564?isModal=True,1,1,1,2023-10-20 00:00:00,2023,13:33:00,Passed
126,126,"ליגה אזורית ימק""א 1",comp.asp?compID=459,30,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9464,10,200m Butterfly,Boys 8-99,00:00.00,20/10/2023 13:37:00,3,3,/LeagueTable/AthleticsDisciplineResults/41560?isModal=True,1,1,3,2023-10-20 00:00:00,2023,13:37:00,Passed
127,127,"ליגה אזורית ימק""א 1",comp.asp?compID=459,30,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9464,11,100m Individual Medley,Girls 8-99,00:00.00,20/10/2023 13:41:00,6,6,/LeagueTable/AthleticsDisciplineResults/41561?isModal=True,1,1,6,2023-10-20 00:00:00,2023,13:41:00,Passed
128,128,"ליגה אזורית ימק""א 1",comp.asp?compID=459,30,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9464,12,100m Individual Medley,Boys 8-99,00:00.00,20/10/2023 13:44:00,18,18,/LeagueTable/AthleticsDisciplineResults/41557?isModal=True,1,1,18,2023-10-20 00:00:00,2023,13:44:00,Passed
147,147,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,1,400m Freestyle,Women 14-99,05:05.00,22/12/2023 09:00:00,23,23,/LeagueTable/AthleticsDisciplineResults/42946?isModal=True,1,1,23,2023-12-22 00:00:00,2023,09:00:00,Passed
148,148,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,2,400m Freestyle,Men 14-99,04:45.00,22/12/2023 09:18:00,33,32,/LeagueTable/AthleticsDisciplineResults/42935?isModal=True,1,1,32,2023-12-22 00:00:00,2023,09:18:00,Passed
149,149,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,3,100m Butterfly,Women 14-99,00:00.00,22/12/2023 09:42:00,51,51,/LeagueTable/AthleticsDisciplineResults/42942?isModal=True,1,1,51,2023-12-22 00:00:00,2023,09:42:00,Passed
150,150,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,4,100m Butterfly,Men 14-99,00:00.00,22/12/2023 09:57:00,94,92,/LeagueTable/AthleticsDisciplineResults/42931?isModal=True,1,1,92,2023-12-22 00:00:00,2023,09:57:00,Passed
151,151,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,5,200m Backstroke,Women 14-99,00:00.00,22/12/2023 10:17:00,23,23,/LeagueTable/AthleticsDisciplineResults/42943?isModal=True,1,1,23,2023-12-22 00:00:00,2023,10:17:00,Passed
152,152,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,6,200m Backstroke,Men 14-99,00:00.00,22/12/2023 10:27:30,61,61,/LeagueTable/AthleticsDisciplineResults/42932?isModal=True,1,1,61,2023-12-22 00:00:00,2023,10:27:30,Passed
153,153,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,7,100m Breaststroke,Women 14-99,00:00.00,22/12/2023 10:52:00,38,36,/LeagueTable/AthleticsDisciplineResults/42941?isModal=True,1,1,36,2023-12-22 00:00:00,2023,10:52:00,Passed
154,154,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,8,100m Breaststroke,Men 14-99,00:00.00,22/12/2023 11:02:00,70,66,/LeagueTable/AthleticsDisciplineResults/42930?isModal=True,1,1,66,2023-12-22 00:00:00,2023,11:02:00,Passed
155,155,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,9,50m Freestyle,Women 14-99,00:00.00,22/12/2023 11:19:30,69,68,/LeagueTable/AthleticsDisciplineResults/42947?isModal=True,1,1,68,2023-12-22 00:00:00,2023,11:19:30,Passed
156,156,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,10,50m Freestyle,Men 14-99,00:00.00,22/12/2023 11:30:00,187,179,/LeagueTable/AthleticsDisciplineResults/42936?isModal=True,1,1,179,2023-12-22 00:00:00,2023,11:30:00,Passed
157,157,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,11,200m Breaststroke,Women 14-99,00:00.00,22/12/2023 14:00:00,17,17,/LeagueTable/AthleticsDisciplineResults/42944?isModal=True,1,1,17,2023-12-22 00:00:00,2023,14:00:00,Passed
158,158,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,12,200m Breaststroke,Men 14-99,00:00.00,22/12/2023 14:07:00,40,39,/LeagueTable/AthleticsDisciplineResults/42933?isModal=True,1,1,39,2023-12-22 00:00:00,2023,14:07:00,Passed
159,159,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,13,200m Individual Medley,Women 14-99,00:00.00,22/12/2023 14:21:00,33,33,/LeagueTable/AthleticsDisciplineResults/42945?isModal=True,1,1,33,2023-12-22 00:00:00,2023,14:21:00,Passed
160,160,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,14,200m Individual Medley,Men 14-99,00:00.00,22/12/2023 14:35:00,78,75,/LeagueTable/AthleticsDisciplineResults/42934?isModal=True,1,1,75,2023-12-22 00:00:00,2023,14:35:00,Passed
161,161,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,15,50m Butterfly,Women 14-99,00:00.00,22/12/2023 15:03:00,37,36,/LeagueTable/AthleticsDisciplineResults/42949?isModal=True,1,1,36,2023-12-22 00:00:00,2023,15:03:00,Passed
162,162,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,16,50m Butterfly,Men 14-99,00:00.00,22/12/2023 15:09:00,78,76,/LeagueTable/AthleticsDisciplineResults/42938?isModal=True,1,1,76,2023-12-22 00:00:00,2023,15:09:00,Passed
163,163,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,17,100m Backstroke,Women 14-99,00:00.00,22/12/2023 15:21:00,38,38,/LeagueTable/AthleticsDisciplineResults/42939?isModal=True,1,1,38,2023-12-22 00:00:00,2023,15:21:00,Passed
164,164,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,18,100m Backstroke,Men 14-99,00:00.00,22/12/2023 15:29:00,81,78,/LeagueTable/AthleticsDisciplineResults/42928?isModal=True,1,1,78,2023-12-22 00:00:00,2023,15:29:00,Passed
165,165,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,19,50m Breaststroke,Women 14-99,00:00.00,22/12/2023 15:47:00,25,23,/LeagueTable/AthleticsDisciplineResults/42948?isModal=True,1,1,23,2023-12-22 00:00:00,2023,15:47:00,Passed
166,166,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,20,50m Breaststroke,Men 14-99,00:00.00,22/12/2023 15:51:30,58,55,/LeagueTable/AthleticsDisciplineResults/42937?isModal=True,1,1,55,2023-12-22 00:00:00,2023,15:51:30,Passed
167,167,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,21,100m Freestyle,Women 14-99,00:00.00,22/12/2023 16:00:30,55,55,/LeagueTable/AthleticsDisciplineResults/42940?isModal=True,1,1,55,2023-12-22 00:00:00,2023,16:00:30,Passed
168,168,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,22,100m Freestyle,Men 14-99,00:00.00,22/12/2023 16:12:30,144,139,/LeagueTable/AthleticsDisciplineResults/42929?isModal=True,1,1,139,2023-12-22 00:00:00,2023,16:12:30,Passed
169,169,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,800,4X200m Freestyle Relay,Men 15-99,00:00.00,22/12/2023 12:05:00,4,4,/LeagueTable/AthleticsDisciplineResults/43269?isModal=True,1,1,4,2023-12-22 00:00:00,2023,12:05:00,Passed
170,170,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,801,50m Backstroke,,00:00.00,22/12/2023 12:05:00,1,1,/LeagueTable/AthleticsDisciplineResults/43270?isModal=True,1,1,1,2023-12-22 00:00:00,2023,12:05:00,Passed
171,171,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,802,4X100m Freestyle Relay,Men 15-99,00:00.00,22/12/2023 14:00:00,4,4,/LeagueTable/AthleticsDisciplineResults/43271?isModal=True,1,1,4,2023-12-22 00:00:00,2023,14:00:00,Passed
172,172,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9816,803,4X100m Medley Relay,Men 15-99,00:00.00,22/12/2023 14:00:00,4,4,/LeagueTable/AthleticsDisciplineResults/43272?isModal=True,1,1,4,2023-12-22 00:00:00,2023,14:00:00,Passed
173,173,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,1,400m Freestyle,Women 14-99,05:05.00,23/12/2023 09:00:00,33,33,/LeagueTable/AthleticsDisciplineResults/42968?isModal=True,1,1,33,2023-12-23 00:00:00,2023,09:00:00,Passed
174,174,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,2,400m Freestyle,Men 14-99,04:45.00,23/12/2023 09:24:00,40,38,/LeagueTable/AthleticsDisciplineResults/42957?isModal=True,1,1,38,2023-12-23 00:00:00,2023,09:24:00,Passed
175,175,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,3,100m Butterfly,Women 14-99,00:00.00,23/12/2023 09:48:00,42,42,/LeagueTable/AthleticsDisciplineResults/42964?isModal=True,1,1,42,2023-12-23 00:00:00,2023,09:48:00,Passed
176,176,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,4,100m Butterfly,Men 14-99,00:00.00,23/12/2023 10:00:30,78,74,/LeagueTable/AthleticsDisciplineResults/42953?isModal=True,1,1,74,2023-12-23 00:00:00,2023,10:00:30,Passed
177,177,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,5,200m Backstroke,Women 14-99,00:00.00,23/12/2023 10:16:30,41,41,/LeagueTable/AthleticsDisciplineResults/42965?isModal=True,1,1,41,2023-12-23 00:00:00,2023,10:16:30,Passed
178,178,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,6,200m Backstroke,Men 14-99,00:00.00,23/12/2023 10:34:00,47,44,/LeagueTable/AthleticsDisciplineResults/42954?isModal=True,1,1,44,2023-12-23 00:00:00,2023,10:34:00,Passed
179,179,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,7,100m Breaststroke,Women 14-99,00:00.00,23/12/2023 10:51:30,47,45,/LeagueTable/AthleticsDisciplineResults/42963?isModal=True,1,1,45,2023-12-23 00:00:00,2023,10:51:30,Passed
180,180,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,8,100m Breaststroke,Men 14-99,00:00.00,23/12/2023 11:04:00,66,64,/LeagueTable/AthleticsDisciplineResults/42952?isModal=True,1,1,64,2023-12-23 00:00:00,2023,11:04:00,Passed
181,181,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,9,50m Freestyle,Women 14-99,00:00.00,23/12/2023 11:18:00,91,86,/LeagueTable/AthleticsDisciplineResults/42969?isModal=True,1,1,86,2023-12-23 00:00:00,2023,11:18:00,Passed
182,182,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,10,50m Freestyle,Men 14-99,00:00.00,23/12/2023 11:33:00,128,120,/LeagueTable/AthleticsDisciplineResults/42958?isModal=True,1,1,120,2023-12-23 00:00:00,2023,11:33:00,Passed
183,183,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,11,200m Breaststroke,Women 14-99,00:00.00,23/12/2023 14:05:00,28,26,/LeagueTable/AthleticsDisciplineResults/42966?isModal=True,1,1,26,2023-12-23 00:00:00,2023,14:05:00,Passed
184,184,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,12,200m Breaststroke,Men 14-99,00:00.00,23/12/2023 14:15:30,40,40,/LeagueTable/AthleticsDisciplineResults/42955?isModal=True,1,1,40,2023-12-23 00:00:00,2023,14:15:30,Passed
185,185,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,13,200m Individual Medley,Women 14-99,00:00.00,23/12/2023 14:29:30,40,40,/LeagueTable/AthleticsDisciplineResults/42967?isModal=True,1,1,40,2023-12-23 00:00:00,2023,14:29:30,Passed
186,186,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,14,200m Individual Medley,Men 14-99,00:00.00,23/12/2023 14:47:00,59,55,/LeagueTable/AthleticsDisciplineResults/42956?isModal=True,1,1,55,2023-12-23 00:00:00,2023,14:47:00,Passed
187,187,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,15,50m Butterfly,Women 14-99,00:00.00,23/12/2023 15:08:00,45,44,/LeagueTable/AthleticsDisciplineResults/42971?isModal=True,1,1,44,2023-12-23 00:00:00,2023,15:08:00,Passed
188,188,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,16,50m Butterfly,Men 14-99,00:00.00,23/12/2023 15:15:30,60,57,/LeagueTable/AthleticsDisciplineResults/42960?isModal=True,1,1,57,2023-12-23 00:00:00,2023,15:15:30,Passed
189,189,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,17,100m Backstroke,Women 14-99,00:00.00,23/12/2023 15:24:30,55,54,/LeagueTable/AthleticsDisciplineResults/42961?isModal=True,1,1,54,2023-12-23 00:00:00,2023,15:24:30,Passed
190,190,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,18,100m Backstroke,Men 14-99,00:00.00,23/12/2023 15:38:00,66,61,/LeagueTable/AthleticsDisciplineResults/42950?isModal=True,1,1,61,2023-12-23 00:00:00,2023,15:38:00,Passed
191,191,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,19,50m Breaststroke,Women 14-99,00:00.00,23/12/2023 15:52:00,42,41,/LeagueTable/AthleticsDisciplineResults/42970?isModal=True,1,1,41,2023-12-23 00:00:00,2023,15:52:00,Passed
192,192,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,20,50m Breaststroke,Men 14-99,00:00.00,23/12/2023 15:59:30,60,59,/LeagueTable/AthleticsDisciplineResults/42959?isModal=True,1,1,59,2023-12-23 00:00:00,2023,15:59:30,Passed
193,193,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,21,100m Freestyle,Women 14-99,00:00.00,23/12/2023 16:08:30,75,72,/LeagueTable/AthleticsDisciplineResults/42962?isModal=True,1,1,72,2023-12-23 00:00:00,2023,16:08:30,Passed
194,194,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,22,100m Freestyle,Men 14-99,00:00.00,23/12/2023 16:24:30,143,136,/LeagueTable/AthleticsDisciplineResults/42951?isModal=True,1,1,136,2023-12-23 00:00:00,2023,16:24:30,Passed
195,195,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,800,4X200m Freestyle Relay,Men 14-99,00:00.00,23/12/2023 12:00:00,8,8,/LeagueTable/AthleticsDisciplineResults/43392?isModal=True,1,1,8,2023-12-23 00:00:00,2023,12:00:00,Passed
