index,competition_name,competition_link,competition_tabindex,discipline_link,Event number,Event,Category,Minimum,Start Time,Total Entries,Total Participants,results_link
49,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,24,100m Butterfly,Boys 15-16,00:00.00,,29,0,/LeagueTable/AthleticsDisciplineResults/41612?isModal=True
50,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,25,100m Butterfly,Women 16-99,00:00.00,,14,0,/LeagueTable/AthleticsDisciplineResults/41622?isModal=True
51,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,26,100m Butterfly,,00:00.00,,28,0,/LeagueTable/AthleticsDisciplineResults/41617?isModal=True
52,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,27,50m Backstroke,Girls 14-15,00:00.00,,21,0,/LeagueTable/AthleticsDisciplineResults/41608?isModal=True
53,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,28,50m Backstroke,Boys 15-16,00:00.00,,28,0,/LeagueTable/AthleticsDisciplineResults/41613?isModal=True
54,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,29,50m Backstroke,Women 16-99,00:00.00,,17,0,/LeagueTable/AthleticsDisciplineResults/41623?isModal=True
55,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,30,50m Backstroke,,00:00.00,,20,0,/LeagueTable/AthleticsDisciplineResults/41618?isModal=True
56,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,31,100m Breaststroke,Girls 14-15,00:00.00,,22,0,/LeagueTable/AthleticsDisciplineResults/41605?isModal=True
57,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,32,100m Breaststroke,Boys 15-16,00:00.00,,26,0,/LeagueTable/AthleticsDisciplineResults/41610?isModal=True
58,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,33,100m Breaststroke,Women 16-99,00:00.00,,14,0,/LeagueTable/AthleticsDisciplineResults/41620?isModal=True
59,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,34,100m Breaststroke,,00:00.00,,16,0,/LeagueTable/AthleticsDisciplineResults/41615?isModal=True
60,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,35,50m Freestyle,Girls 14-15,00:00.00,,39,0,/LeagueTable/AthleticsDisciplineResults/41609?isModal=True
61,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,36,50m Freestyle,Boys 15-16,00:00.00,,60,0,/LeagueTable/AthleticsDisciplineResults/41614?isModal=True
62,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,37,50m Freestyle,Women 16-99,00:00.00,,34,0,/LeagueTable/AthleticsDisciplineResults/41624?isModal=True
63,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,38,50m Freestyle,,00:00.00,,38,0,/LeagueTable/AthleticsDisciplineResults/41619?isModal=True
64,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,39,100m Individual Medley,Girls 14-15,00:00.00,,40,0,/LeagueTable/AthleticsDisciplineResults/41606?isModal=True
65,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,40,100m Individual Medley,Boys 15-16,00:00.00,,45,0,/LeagueTable/AthleticsDisciplineResults/41611?isModal=True
66,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,41,100m Individual Medley,Women 16-99,00:00.00,,20,0,/LeagueTable/AthleticsDisciplineResults/41621?isModal=True
67,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,42,100m Individual Medley,,00:00.00,,41,0,/LeagueTable/AthleticsDisciplineResults/41616?isModal=True
68,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,43,4X50m Freestyle Relay,Women 14-99,00:00.00,,46,0,/LeagueTable/AthleticsDisciplineResults/41626?isModal=True
69,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,44,4X50m Freestyle Relay,Men 15-99,00:00.00,,60,0,/LeagueTable/AthleticsDisciplineResults/41625?isModal=True
70,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,45,50m Butterfly,Girls 14-15,00:00.00,14/10/2023 13:30:00,21,0,/LeagueTable/AthleticsDisciplineResults/41630?isModal=True
71,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,46,50m Butterfly,Boys 15-16,00:00.00,,28,0,/LeagueTable/AthleticsDisciplineResults/41634?isModal=True
72,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,47,50m Butterfly,Women 16-99,00:00.00,,24,0,/LeagueTable/AthleticsDisciplineResults/41642?isModal=True
73,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,48,50m Butterfly,,00:00.00,,35,0,/LeagueTable/AthleticsDisciplineResults/41638?isModal=True
74,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,49,100m Backstroke,Girls 14-15,00:00.00,,16,0,/LeagueTable/AthleticsDisciplineResults/41627?isModal=True
75,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,50,100m Backstroke,Boys 15-16,00:00.00,,20,0,/LeagueTable/AthleticsDisciplineResults/41631?isModal=True
76,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,51,100m Backstroke,Women 16-99,00:00.00,,12,0,/LeagueTable/AthleticsDisciplineResults/41639?isModal=True
77,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,52,100m Backstroke,,00:00.00,,17,0,/LeagueTable/AthleticsDisciplineResults/41635?isModal=True
78,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,53,50m Breaststroke,Girls 14-15,00:00.00,,13,0,/LeagueTable/AthleticsDisciplineResults/41629?isModal=True
79,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,54,50m Breaststroke,Boys 15-16,00:00.00,,14,0,/LeagueTable/AthleticsDisciplineResults/41633?isModal=True
80,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,55,50m Breaststroke,Women 16-99,00:00.00,,17,0,/LeagueTable/AthleticsDisciplineResults/41641?isModal=True
81,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,56,50m Breaststroke,,00:00.00,,19,0,/LeagueTable/AthleticsDisciplineResults/41637?isModal=True
82,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,57,100m Freestyle,Girls 14-15,00:00.00,,34,0,/LeagueTable/AthleticsDisciplineResults/41628?isModal=True
83,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,58,100m Freestyle,Boys 15-16,00:00.00,,40,0,/LeagueTable/AthleticsDisciplineResults/41632?isModal=True
84,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,59,100m Freestyle,Women 16-99,00:00.00,,32,0,/LeagueTable/AthleticsDisciplineResults/41640?isModal=True
85,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,60,100m Freestyle,,00:00.00,,33,0,/LeagueTable/AthleticsDisciplineResults/41636?isModal=True
86,"תחרות ע""ש גל רודובסקי",comp.asp?compID=460,27,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9513,61,4X50m Medley Relay,Mix 14-99,00:00.00,,50,0,/LeagueTable/AthleticsDisciplineResults/41643?isModal=True
87,תחרות אזורית שוהם 1,comp.asp?compID=455,28,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9454,1,50m Freestyle,Women 10-99,00:00.00,20/10/2023 13:35:00,6,0,/LeagueTable/AthleticsDisciplineResults/41458?isModal=True
88,תחרות אזורית שוהם 1,comp.asp?compID=455,28,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9454,2,50m Freestyle,Men 10-99,00:00.00,,6,0,/LeagueTable/AthleticsDisciplineResults/41448?isModal=True
89,תחרות אזורית שוהם 1,comp.asp?compID=455,28,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9454,3,50m Breaststroke,Women 10-99,00:00.00,,2,0,/LeagueTable/AthleticsDisciplineResults/41459?isModal=True
90,תחרות אזורית שוהם 1,comp.asp?compID=455,28,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9454,4,50m Breaststroke,Men 10-99,00:00.00,,1,0,/LeagueTable/AthleticsDisciplineResults/41449?isModal=True
91,תחרות אזורית שוהם 1,comp.asp?compID=455,28,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9454,5,200m Freestyle,Women 10-99,03:10.00,,8,0,/LeagueTable/AthleticsDisciplineResults/41455?isModal=True
92,תחרות אזורית שוהם 1,comp.asp?compID=455,28,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9454,6,200m Freestyle,Men 10-99,03:10.00,,12,0,/LeagueTable/AthleticsDisciplineResults/41445?isModal=True
93,תחרות אזורית שוהם 1,comp.asp?compID=455,28,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9454,7,100m Freestyle,Women 10-99,00:00.00,,8,0,/LeagueTable/AthleticsDisciplineResults/41451?isModal=True
94,תחרות אזורית שוהם 1,comp.asp?compID=455,28,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9454,8,100m Freestyle,Men 10-99,00:00.00,,7,0,/LeagueTable/AthleticsDisciplineResults/41441?isModal=True
95,תחרות אזורית שוהם 1,comp.asp?compID=455,28,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9454,9,100m Butterfly,Women 10-99,00:00.00,,3,0,/LeagueTable/AthleticsDisciplineResults/41453?isModal=True
96,תחרות אזורית שוהם 1,comp.asp?compID=455,28,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9454,10,100m Butterfly,Men 10-99,00:00.00,,8,0,/LeagueTable/AthleticsDisciplineResults/41443?isModal=True
97,תחרות אזורית שוהם 1,comp.asp?compID=455,28,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9454,11,100m Breaststroke,Women 10-99,00:00.00,,6,0,/LeagueTable/AthleticsDisciplineResults/41452?isModal=True
98,תחרות אזורית שוהם 1,comp.asp?compID=455,28,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9454,12,100m Breaststroke,Men 10-99,00:00.00,,8,0,/LeagueTable/AthleticsDisciplineResults/41442?isModal=True
99,תחרות אזורית שוהם 1,comp.asp?compID=455,28,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9454,13,100m Backstroke,Women 10-99,00:00.00,,7,0,/LeagueTable/AthleticsDisciplineResults/41450?isModal=True
100,תחרות אזורית שוהם 1,comp.asp?compID=455,28,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9454,14,100m Backstroke,Men 10-99,00:00.00,,8,0,/LeagueTable/AthleticsDisciplineResults/41440?isModal=True
101,תחרות אזורית שוהם 1,comp.asp?compID=455,28,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9454,15,200m Backstroke,Women 10-99,03:20.00,,2,0,/LeagueTable/AthleticsDisciplineResults/41454?isModal=True
102,תחרות אזורית שוהם 1,comp.asp?compID=455,28,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9454,16,200m Backstroke,Men 10-99,03:20.00,,4,0,/LeagueTable/AthleticsDisciplineResults/41444?isModal=True
103,תחרות אזורית שוהם 1,comp.asp?compID=455,28,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9454,17,200m Individual Medley,Women 10-99,03:20.00,,6,0,/LeagueTable/AthleticsDisciplineResults/41456?isModal=True
104,תחרות אזורית שוהם 1,comp.asp?compID=455,28,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9454,18,200m Individual Medley,Men 10-99,03:20.00,,10,0,/LeagueTable/AthleticsDisciplineResults/41446?isModal=True
105,ליגה אזורית דרום 1,comp.asp?compID=458,29,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9463,1,50m Backstroke,Girls 10-11,00:00.00,,1,0,/LeagueTable/AthleticsDisciplineResults/41664?isModal=True
106,ליגה אזורית דרום 1,comp.asp?compID=458,29,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9463,2,50m Backstroke,Boys 10-11,00:00.00,,9,0,/LeagueTable/AthleticsDisciplineResults/41667?isModal=True
107,ליגה אזורית דרום 1,comp.asp?compID=458,29,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9463,3,100m Individual Medley,Girls 12-13,00:00.00,,5,0,/LeagueTable/AthleticsDisciplineResults/41669?isModal=True
108,ליגה אזורית דרום 1,comp.asp?compID=458,29,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9463,4,100m Individual Medley,Boys 12-14,00:00.00,,17,0,/LeagueTable/AthleticsDisciplineResults/41672?isModal=True
109,ליגה אזורית דרום 1,comp.asp?compID=458,29,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9463,5,100m Breaststroke,Girls 10-11,00:00.00,,4,0,/LeagueTable/AthleticsDisciplineResults/41663?isModal=True
