,level_0,level_0_production,index,competition_name,competition_link,competition_tabindex,discipline_link,Event number,Event,Category,Minimum,Start Time,Total Entries,Total Participants,results_link,competition_link_check,results_link_check,TotalParticipantsInt,Date,Year,Time,Status,Place,Full name,Year Of Birth,Club,Heat,Lane,Results,Points,table_first_row
11,46,178,178,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,6,200m Backstroke,Men 14-99,00:00.00,23/12/2023 10:34:00,47,44,/LeagueTable/AthleticsDisciplineResults/42954?isModal=True,1,1,44,2023-12-23 00:00:00,2023,10:34:00,Passed,45,ANDREI GAIDOKOV,2007,Maccabbi Weisgal,4,3,NS,0,Direct Finals
12,11,179,179,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,7,100m Breaststroke,Women 14-99,00:00.00,23/12/2023 10:51:30,47,45,/LeagueTable/AthleticsDisciplineResults/42963?isModal=True,1,1,45,2023-12-23 00:00:00,2023,10:51:30,Passed,12,Ariel Shahar,2009,Maccabbi Weisgal,5,9,01:17.98,511,Direct Finals
13,31,179,179,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,7,100m Breaststroke,Women 14-99,00:00.00,23/12/2023 10:51:30,47,45,/LeagueTable/AthleticsDisciplineResults/42963?isModal=True,1,1,45,2023-12-23 00:00:00,2023,10:51:30,Passed,32,Ariel Mizrahi,2010,Maccabbi Weisgal,2,8,01:26.33,376,Direct Finals
14,12,180,180,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,8,100m Breaststroke,Men 14-99,00:00.00,23/12/2023 11:04:00,66,64,/LeagueTable/AthleticsDisciplineResults/42952?isModal=True,1,1,64,2023-12-23 00:00:00,2023,11:04:00,Passed,13,Jonatan Veprinsky,2007,Maccabbi Weisgal,6,5,01:08.82,518,Direct Finals
15,31,180,180,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,8,100m Breaststroke,Men 14-99,00:00.00,23/12/2023 11:04:00,66,64,/LeagueTable/AthleticsDisciplineResults/42952?isModal=True,1,1,64,2023-12-23 00:00:00,2023,11:04:00,Passed,32,Noam Steinberg,2009,Maccabbi Weisgal,6,9,01:12.06,451,Direct Finals
16,9,181,181,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,9,50m Freestyle,Women 14-99,00:00.00,23/12/2023 11:18:00,91,86,/LeagueTable/AthleticsDisciplineResults/42969?isModal=True,1,1,86,2023-12-23 00:00:00,2023,11:18:00,Passed,10,Ellah Manna,2009,Maccabbi Weisgal,8,8,00:28.61,514,Direct Finals
17,30,181,181,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,9,50m Freestyle,Women 14-99,00:00.00,23/12/2023 11:18:00,91,86,/LeagueTable/AthleticsDisciplineResults/42969?isModal=True,1,1,86,2023-12-23 00:00:00,2023,11:18:00,Passed,31,Noa Karni,2009,Maccabbi Weisgal,5,9,00:29.79,456,Direct Finals
18,41,181,181,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,9,50m Freestyle,Women 14-99,00:00.00,23/12/2023 11:18:00,91,86,/LeagueTable/AthleticsDisciplineResults/42969?isModal=True,1,1,86,2023-12-23 00:00:00,2023,11:18:00,Passed,42,MAYA CHN-LEVI,2008,Maccabbi Weisgal,4,3,00:30.19,438,Direct Finals
19,58,181,181,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,9,50m Freestyle,Women 14-99,00:00.00,23/12/2023 11:18:00,91,86,/LeagueTable/AthleticsDisciplineResults/42969?isModal=True,1,1,86,2023-12-23 00:00:00,2023,11:18:00,Passed,59,Gaia Benis,2010,Maccabbi Weisgal,5,6,00:31.22,396,Direct Finals
20,32,182,182,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,10,50m Freestyle,Men 14-99,00:00.00,23/12/2023 11:33:00,128,120,/LeagueTable/AthleticsDisciplineResults/42958?isModal=True,1,1,120,2023-12-23 00:00:00,2023,11:33:00,Passed,33,Ron Morgulis,2006,Maccabbi Weisgal,10,5,00:25.44,497,Direct Finals
21,118,182,182,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,10,50m Freestyle,Men 14-99,00:00.00,23/12/2023 11:33:00,128,120,/LeagueTable/AthleticsDisciplineResults/42958?isModal=True,1,1,120,2023-12-23 00:00:00,2023,11:33:00,Passed,119,ANDREI GAIDOKOV,2007,Maccabbi Weisgal,2,7,NS,0,Direct Finals
22,5,183,183,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,11,200m Breaststroke,Women 14-99,00:00.00,23/12/2023 14:05:00,28,26,/LeagueTable/AthleticsDisciplineResults/42966?isModal=True,1,1,26,2023-12-23 00:00:00,2023,14:05:00,Passed,6,Ariel Shahar,2009,Maccabbi Weisgal,3,7,02:45.91,533,Direct Finals
23,12,184,184,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,12,200m Breaststroke,Men 14-99,00:00.00,23/12/2023 14:15:30,40,40,/LeagueTable/AthleticsDisciplineResults/42955?isModal=True,1,1,40,2023-12-23 00:00:00,2023,14:15:30,Passed,13,Noam Steinberg,2009,Maccabbi Weisgal,4,9,02:36.64,451,Direct Finals
24,19,185,185,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,13,200m Individual Medley,Women 14-99,00:00.00,23/12/2023 14:29:30,40,40,/LeagueTable/AthleticsDisciplineResults/42967?isModal=True,1,1,40,2023-12-23 00:00:00,2023,14:29:30,Passed,20,Noa Karni,2009,Maccabbi Weisgal,4,2,02:37.45,463,Direct Finals
25,28,186,186,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,14,200m Individual Medley,Men 14-99,00:00.00,23/12/2023 14:47:00,59,55,/LeagueTable/AthleticsDisciplineResults/42956?isModal=True,1,1,55,2023-12-23 00:00:00,2023,14:47:00,Passed,29,Jonatan Veprinsky,2007,Maccabbi Weisgal,4,0,02:23.40,446,Direct Finals
26,18,187,187,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,15,50m Butterfly,Women 14-99,00:00.00,23/12/2023 15:08:00,45,44,/LeagueTable/AthleticsDisciplineResults/42971?isModal=True,1,1,44,2023-12-23 00:00:00,2023,15:08:00,Passed,19,GilVered Cipele,2009,Maccabbi Weisgal,4,9,00:32.45,424,Direct Finals
27,29,187,187,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,15,50m Butterfly,Women 14-99,00:00.00,23/12/2023 15:08:00,45,44,/LeagueTable/AthleticsDisciplineResults/42971?isModal=True,1,1,44,2023-12-23 00:00:00,2023,15:08:00,Passed,30,MAYA CHN-LEVI,2008,Maccabbi Weisgal,2,7,00:34.82,343,Direct Finals
28,31,187,187,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,15,50m Butterfly,Women 14-99,00:00.00,23/12/2023 15:08:00,45,44,/LeagueTable/AthleticsDisciplineResults/42971?isModal=True,1,1,44,2023-12-23 00:00:00,2023,15:08:00,Passed,32,Gaia Benis,2010,Maccabbi Weisgal,3,8,00:35.02,337,Direct Finals
29,38,187,187,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,15,50m Butterfly,Women 14-99,00:00.00,23/12/2023 15:08:00,45,44,/LeagueTable/AthleticsDisciplineResults/42971?isModal=True,1,1,44,2023-12-23 00:00:00,2023,15:08:00,Passed,39,SHIRLI DUBOVICH,2010,Maccabbi Weisgal,2,9,00:36.81,290,Direct Finals
30,11,188,188,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,16,50m Butterfly,Men 14-99,00:00.00,23/12/2023 15:15:30,60,57,/LeagueTable/AthleticsDisciplineResults/42960?isModal=True,1,1,57,2023-12-23 00:00:00,2023,15:15:30,Passed,12,Itay Shpayzer,2008,Maccabbi Weisgal,6,0,00:27.04,520,Direct Finals
31,33,188,188,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,16,50m Butterfly,Men 14-99,00:00.00,23/12/2023 15:15:30,60,57,/LeagueTable/AthleticsDisciplineResults/42960?isModal=True,1,1,57,2023-12-23 00:00:00,2023,15:15:30,Passed,34,Ariel Alon,2009,Maccabbi Weisgal,3,3,00:29.37,406,Direct Finals
32,22,189,189,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,17,100m Backstroke,Women 14-99,00:00.00,23/12/2023 15:24:30,55,54,/LeagueTable/AthleticsDisciplineResults/42961?isModal=True,1,1,54,2023-12-23 00:00:00,2023,15:24:30,Passed,23,GilVered Cipele,2009,Maccabbi Weisgal,4,3,01:13.61,414,Direct Finals
33,10,190,190,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,18,100m Backstroke,Men 14-99,00:00.00,23/12/2023 15:38:00,66,61,/LeagueTable/AthleticsDisciplineResults/42950?isModal=True,1,1,61,2023-12-23 00:00:00,2023,15:38:00,Passed,11,Eran Grubman,2007,Maccabbi Weisgal,7,1,01:00.17,518,Direct Finals
34,31,190,190,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,18,100m Backstroke,Men 14-99,00:00.00,23/12/2023 15:38:00,66,61,/LeagueTable/AthleticsDisciplineResults/42950?isModal=True,1,1,61,2023-12-23 00:00:00,2023,15:38:00,Passed,32,Matan Epshtein,2009,Maccabbi Weisgal,4,1,01:07.57,365,Direct Finals
35,61,190,190,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,18,100m Backstroke,Men 14-99,00:00.00,23/12/2023 15:38:00,66,61,/LeagueTable/AthleticsDisciplineResults/42950?isModal=True,1,1,61,2023-12-23 00:00:00,2023,15:38:00,Passed,62,ANDREI GAIDOKOV,2007,Maccabbi Weisgal,1,4,NS,0,Direct Finals
36,7,191,191,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,19,50m Breaststroke,Women 14-99,00:00.00,23/12/2023 15:52:00,42,41,/LeagueTable/AthleticsDisciplineResults/42970?isModal=True,1,1,41,2023-12-23 00:00:00,2023,15:52:00,Passed,7,Ariel Shahar,2009,Maccabbi Weisgal,5,2,00:35.82,506,Direct Finals
37,21,191,191,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,19,50m Breaststroke,Women 14-99,00:00.00,23/12/2023 15:52:00,42,41,/LeagueTable/AthleticsDisciplineResults/42970?isModal=True,1,1,41,2023-12-23 00:00:00,2023,15:52:00,Passed,22,Ariel Mizrahi,2010,Maccabbi Weisgal,3,2,00:39.02,392,Direct Finals
38,23,192,192,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,20,50m Breaststroke,Men 14-99,00:00.00,23/12/2023 15:59:30,60,59,/LeagueTable/AthleticsDisciplineResults/42959?isModal=True,1,1,59,2023-12-23 00:00:00,2023,15:59:30,Passed,23,Jonatan Veprinsky,2007,Maccabbi Weisgal,5,9,00:32.09,470,Direct Finals
39,30,192,192,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,20,50m Breaststroke,Men 14-99,00:00.00,23/12/2023 15:59:30,60,59,/LeagueTable/AthleticsDisciplineResults/42959?isModal=True,1,1,59,2023-12-23 00:00:00,2023,15:59:30,Passed,31,Noam Steinberg,2009,Maccabbi Weisgal,4,0,00:33.76,403,Direct Finals
40,20,193,193,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,21,100m Freestyle,Women 14-99,00:00.00,23/12/2023 16:08:30,75,72,/LeagueTable/AthleticsDisciplineResults/42962?isModal=True,1,1,72,2023-12-23 00:00:00,2023,16:08:30,Passed,21,Ellah Manna,2009,Maccabbi Weisgal,5,7,01:04.08,482,Direct Finals
41,41,193,193,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,21,100m Freestyle,Women 14-99,00:00.00,23/12/2023 16:08:30,75,72,/LeagueTable/AthleticsDisciplineResults/42962?isModal=True,1,1,72,2023-12-23 00:00:00,2023,16:08:30,Passed,42,MAYA CHN-LEVI,2008,Maccabbi Weisgal,2,8,01:06.81,425,Direct Finals
42,55,193,193,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,21,100m Freestyle,Women 14-99,00:00.00,23/12/2023 16:08:30,75,72,/LeagueTable/AthleticsDisciplineResults/42962?isModal=True,1,1,72,2023-12-23 00:00:00,2023,16:08:30,Passed,56,Gaia Benis,2010,Maccabbi Weisgal,4,3,01:09.84,372,Direct Finals
43,67,193,193,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,21,100m Freestyle,Women 14-99,00:00.00,23/12/2023 16:08:30,75,72,/LeagueTable/AthleticsDisciplineResults/42962?isModal=True,1,1,72,2023-12-23 00:00:00,2023,16:08:30,Passed,68,SHIRLI DUBOVICH,2010,Maccabbi Weisgal,2,7,01:13.18,323,Direct Finals
44,28,194,194,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,22,100m Freestyle,Men 14-99,00:00.00,23/12/2023 16:24:30,143,136,/LeagueTable/AthleticsDisciplineResults/42951?isModal=True,1,1,136,2023-12-23 00:00:00,2023,16:24:30,Passed,29,Itay Shpayzer,2008,Maccabbi Weisgal,12,7,00:54.26,564,Direct Finals
45,38,194,194,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,22,100m Freestyle,Men 14-99,00:00.00,23/12/2023 16:24:30,143,136,/LeagueTable/AthleticsDisciplineResults/42951?isModal=True,1,1,136,2023-12-23 00:00:00,2023,16:24:30,Passed,39,Ron Morgulis,2006,Maccabbi Weisgal,14,9,00:55.25,534,Direct Finals
46,42,194,194,"תחרות ""ההזדמנות האחרונה"" 2023",comp.asp?compID=488,35,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9817,22,100m Freestyle,Men 14-99,00:00.00,23/12/2023 16:24:30,143,136,/LeagueTable/AthleticsDisciplineResults/42951?isModal=True,1,1,136,2023-12-23 00:00:00,2023,16:24:30,Passed,43,Eran Grubman,2007,Maccabbi Weisgal,12,6,00:55.55,525,Direct Finals
47,2,203,203,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,1,800m Freestyle,Girls 13,00:00.00,12/01/2024 08:45:00,4,4,/LeagueTable/AthleticsDisciplineResults/44056?isModal=True,1,1,4,2024-01-12 00:00:00,2024,08:45:00,Passed,3,TAMAR AROUETTY,2011,Maccabbi Weisgal,1,4,10:46.07,408,Direct Finals
48,3,203,203,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,1,800m Freestyle,Girls 13,00:00.00,12/01/2024 08:45:00,4,4,/LeagueTable/AthleticsDisciplineResults/44056?isModal=True,1,1,4,2024-01-12 00:00:00,2024,08:45:00,Passed,4,BAR STACHI,2011,Maccabbi Weisgal,1,6,11:31.59,332,Direct Finals
49,4,204,204,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,2,800m Freestyle,Boys 14,00:00.00,12/01/2024 08:57:00,9,9,/LeagueTable/AthleticsDisciplineResults/44057?isModal=True,1,1,9,2024-01-12 00:00:00,2024,08:57:00,Passed,5,DROR HASIDI,2010,Maccabbi Weisgal,2,4,10:23.88,359,Direct Finals
50,7,204,204,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,2,800m Freestyle,Boys 14,00:00.00,12/01/2024 08:57:00,9,9,/LeagueTable/AthleticsDisciplineResults/44057?isModal=True,1,1,9,2024-01-12 00:00:00,2024,08:57:00,Passed,8,ROZENSHTRAKH ITAMAR,2010,Maccabbi Weisgal,1,3,10:47.00,321,Direct Finals
51,1,205,205,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,3,200m Individual Medley,Girls 10-13,00:00.00,12/01/2024 09:21:00,14,14,/LeagueTable/AthleticsDisciplineResults/44058?isModal=True,1,1,14,2024-01-12 00:00:00,2024,09:21:00,Passed,2,LIEL NIKOLAEV,2012,Maccabbi Weisgal,1,6,03:01.00,305,Direct Finals
52,2,205,205,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,3,200m Individual Medley,Girls 10-13,00:00.00,12/01/2024 09:21:00,14,14,/LeagueTable/AthleticsDisciplineResults/44058?isModal=True,1,1,14,2024-01-12 00:00:00,2024,09:21:00,Passed,3,Liam Turjeman,2013,Maccabbi Weisgal,2,4,03:06.35,279,Direct Finals
53,5,205,205,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,3,200m Individual Medley,Girls 10-13,00:00.00,12/01/2024 09:21:00,14,14,/LeagueTable/AthleticsDisciplineResults/44058?isModal=True,1,1,14,2024-01-12 00:00:00,2024,09:21:00,Passed,6,NEOMI SHARABI,2013,Maccabbi Weisgal,2,3,03:13.49,249,Direct Finals
54,7,205,205,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,3,200m Individual Medley,Girls 10-13,00:00.00,12/01/2024 09:21:00,14,14,/LeagueTable/AthleticsDisciplineResults/44058?isModal=True,1,1,14,2024-01-12 00:00:00,2024,09:21:00,Passed,8,Karin Margolis,2012,Maccabbi Weisgal,2,5,03:14.41,246,Direct Finals
55,9,205,205,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,3,200m Individual Medley,Girls 10-13,00:00.00,12/01/2024 09:21:00,14,14,/LeagueTable/AthleticsDisciplineResults/44058?isModal=True,1,1,14,2024-01-12 00:00:00,2024,09:21:00,Passed,10,SAPIR KAUSHANSKY,2012,Maccabbi Weisgal,1,5,03:30.35,194,Direct Finals
56,10,205,205,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,3,200m Individual Medley,Girls 10-13,00:00.00,12/01/2024 09:21:00,14,14,/LeagueTable/AthleticsDisciplineResults/44058?isModal=True,1,1,14,2024-01-12 00:00:00,2024,09:21:00,Passed,11,LI - CHEN OVADEA,2012,Maccabbi Weisgal,1,1,03:31.36,191,Direct Finals
57,12,205,205,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,3,200m Individual Medley,Girls 10-13,00:00.00,12/01/2024 09:21:00,14,14,/LeagueTable/AthleticsDisciplineResults/44058?isModal=True,1,1,14,2024-01-12 00:00:00,2024,09:21:00,Passed,13,Lia Goralik,2012,Maccabbi Weisgal,1,4,03:38.21,174,Direct Finals
58,13,205,205,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,3,200m Individual Medley,Girls 10-13,00:00.00,12/01/2024 09:21:00,14,14,/LeagueTable/AthleticsDisciplineResults/44058?isModal=True,1,1,14,2024-01-12 00:00:00,2024,09:21:00,Passed,14,Avia Mizrahi,2012,Maccabbi Weisgal,1,7,NS,0,Direct Finals
59,6,206,206,ליגה צעירים וייסגל - בת ים,comp.asp?compID=1493,37,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/9635,4,200m Individual Medley,Boys 10-14,00:00.00,12/01/2024 09:30:00,42,42,/LeagueTable/AthleticsDisciplineResults/44059?isModal=True,1,1,42,2024-01-12 00:00:00,2024,09:30:00,Passed,7,BEN KISHINEVSKI,2011,Maccabbi Weisgal,6,6,02:49.89,268,Direct Finals
