Gender,Age,Event,Points,Time
Male,8,400m Freestyle,17,06:35.85
Male,8,800m Freestyle,17,13:42.15
Male,8,1500m Freestyle,17,26:08.17
Male,8,50m Breaststroke,17,00:47.28
Male,8,100m Breaststroke,17,01:46.20
Male,8,200m Breaststroke,17,03:56.49
Male,8,50m Butterfly,17,00:41.24
Male,8,100m Butterfly,17,01:36.42
Male,8,200m Butterfly,17,04:23.90
Male,8,50m Backstroke,17,00:41.44
Male,8,100m Backstroke,17,01:31.41
Male,8,200m Backstroke,17,03:22.45
Male,8,200m Individual Medley,17,03:32.13
Male,8,400m Individual Medley,17,07:41.82
Male,8,50m Freestyle,16,00:35.76
Male,8,100m Freestyle,16,01:22.51
Male,8,200m Freestyle,16,03:01.79
Male,8,400m Freestyle,16,06:41.70
Male,8,800m Freestyle,16,13:54.30
Male,8,1500m Freestyle,16,26:31.35
Male,8,50m Breaststroke,16,00:47.98
Male,8,100m Breaststroke,16,01:47.77
Male,8,200m Breaststroke,16,03:59.99
Male,8,50m Butterfly,16,00:41.85
Male,8,100m Butterfly,16,01:37.85
Male,8,200m Butterfly,16,04:27.80
Male,8,50m Backstroke,16,00:42.05
Male,8,100m Backstroke,16,01:32.76
Male,8,200m Backstroke,16,03:25.44
Male,8,200m Individual Medley,16,03:35.27
Male,8,400m Individual Medley,16,07:48.65
Male,8,50m Freestyle,15,00:36.28
Male,8,100m Freestyle,15,01:23.71
Male,8,200m Freestyle,15,03:04.44
Male,8,400m Freestyle,15,06:47.55
Male,8,800m Freestyle,15,14:06.45
Male,8,1500m Freestyle,15,26:54.52
Male,8,50m Breaststroke,15,00:48.68
Male,8,100m Breaststroke,15,01:49.34
Male,8,200m Breaststroke,15,04:03.49
Male,8,50m Butterfly,15,00:42.46
Male,8,100m Butterfly,15,01:39.28
Male,8,200m Butterfly,15,04:31.70
Male,8,50m Backstroke,15,00:42.67
Male,8,100m Backstroke,15,01:34.11
Male,8,200m Backstroke,15,03:28.44
Male,8,200m Individual Medley,15,03:38.40
Male,8,400m Individual Medley,15,07:55.48
Male,8,50m Freestyle,14,00:36.80
Male,8,100m Freestyle,14,01:24.92
Male,8,200m Freestyle,14,03:07.09
Male,8,400m Freestyle,14,06:53.40
Male,8,800m Freestyle,14,14:18.60
Male,8,1500m Freestyle,14,27:17.70
Male,8,50m Breaststroke,14,00:49.37
Male,8,100m Breaststroke,14,01:50.91
Male,8,200m Breaststroke,14,04:06.98
Male,8,50m Butterfly,14,00:43.07
Male,8,100m Butterfly,14,01:40.70
Male,8,200m Butterfly,14,04:35.60
Male,8,50m Backstroke,14,00:43.28
Male,8,100m Backstroke,14,01:35.46
Male,8,200m Backstroke,14,03:31.43
Male,8,200m Individual Medley,14,03:41.54
Male,8,400m Individual Medley,14,08:02.30
Male,8,50m Freestyle,13,00:37.32
Male,8,100m Freestyle,13,01:26.12
Male,8,200m Freestyle,13,03:09.74
Male,8,400m Freestyle,13,06:59.25
Male,8,800m Freestyle,13,14:30.75
Male,8,1500m Freestyle,13,27:40.87
Male,8,50m Breaststroke,13,00:50.07
Male,8,100m Breaststroke,13,01:52.48
Male,8,200m Breaststroke,13,04:10.47
Male,8,50m Butterfly,13,00:43.68
Male,8,100m Butterfly,13,01:42.12
Male,8,200m Butterfly,13,04:39.50
Male,8,50m Backstroke,13,00:43.89
Male,8,100m Backstroke,13,01:36.81
Male,8,200m Backstroke,13,03:34.42
Male,8,200m Individual Medley,13,03:44.68
Male,8,400m Individual Medley,13,08:09.13
Male,8,50m Freestyle,12,00:37.84
Male,8,100m Freestyle,12,01:27.32
Male,8,200m Freestyle,12,03:12.39
Male,8,400m Freestyle,12,07:05.10
Male,8,800m Freestyle,12,14:42.90
Male,8,1500m Freestyle,12,28:04.05
Male,8,50m Breaststroke,12,00:50.77
Male,8,100m Breaststroke,12,01:54.05
Male,8,200m Breaststroke,12,04:13.97
Male,8,50m Butterfly,12,00:44.29
Male,8,100m Butterfly,12,01:43.55
Male,8,200m Butterfly,12,04:43.40
Male,8,50m Backstroke,12,00:44.50
Male,8,100m Backstroke,12,01:38.17
Male,8,200m Backstroke,12,03:37.41
Male,8,200m Individual Medley,12,03:47.81
Male,8,400m Individual Medley,12,08:15.95
Male,8,50m Freestyle,11,00:38.37
Male,8,100m Freestyle,11,01:28.52
Male,8,200m Freestyle,11,03:15.03
Male,8,400m Freestyle,11,07:10.95
Male,8,800m Freestyle,11,14:55.05
Male,8,1500m Freestyle,11,28:27.22
Male,8,50m Breaststroke,11,00:51.47
Male,8,100m Breaststroke,11,01:55.62
Male,8,200m Breaststroke,11,04:17.47
Male,8,50m Butterfly,11,00:44.90
Male,8,100m Butterfly,11,01:44.98
Male,8,200m Butterfly,11,04:47.30
Male,8,50m Backstroke,11,00:45.12
Male,8,100m Backstroke,11,01:39.52
Male,8,200m Backstroke,11,03:40.40
Male,8,200m Individual Medley,11,03:50.95
Male,8,400m Individual Medley,11,08:22.77
Male,8,50m Freestyle,10,00:38.89
Male,8,100m Freestyle,10,01:29.72
Male,8,200m Freestyle,10,03:17.68
Male,8,400m Freestyle,10,07:16.80
Male,8,800m Freestyle,10,15:07.20
Male,8,1500m Freestyle,10,28:50.40
Male,8,50m Breaststroke,10,00:52.17
Male,8,100m Breaststroke,10,01:57.19
Male,8,200m Breaststroke,10,04:20.96
Male,8,50m Butterfly,10,00:45.51
Male,8,100m Butterfly,10,01:46.40
Male,8,200m Butterfly,10,04:51.20
Male,8,50m Backstroke,10,00:45.73
Male,8,100m Backstroke,10,01:40.87
Male,8,200m Backstroke,10,03:43.40
Male,8,200m Individual Medley,10,03:54.08
Male,8,400m Individual Medley,10,08:29.60
Male,8,50m Freestyle,9,00:39.41
Male,8,100m Freestyle,9,01:30.92
Male,8,200m Freestyle,9,03:20.33
Male,8,400m Freestyle,9,07:22.65
Male,8,800m Freestyle,9,15:19.35
Male,8,1500m Freestyle,9,29:13.57
Male,8,50m Breaststroke,9,00:52.87
Male,8,100m Breaststroke,9,01:58.76
Male,8,200m Breaststroke,9,04:24.45
Male,8,50m Butterfly,9,00:46.12
Male,8,100m Butterfly,9,01:47.82
Male,8,200m Butterfly,9,04:55.10
Male,8,50m Backstroke,9,00:46.34
Male,8,100m Backstroke,9,01:42.22
Male,8,200m Backstroke,9,03:46.39
Male,8,200m Individual Medley,9,03:57.22
Male,8,400m Individual Medley,9,08:36.42
Male,8,50m Freestyle,8,00:39.93
Male,8,100m Freestyle,8,01:32.13
Male,8,200m Freestyle,8,03:22.97
Male,8,400m Freestyle,8,07:28.50
Male,8,800m Freestyle,8,15:31.50
Male,8,1500m Freestyle,8,29:36.75
Male,8,50m Breaststroke,8,00:53.57
Male,8,100m Breaststroke,8,02:00.32
Male,8,200m Breaststroke,8,04:27.95
Male,8,50m Butterfly,8,00:46.72
Male,8,100m Butterfly,8,01:49.25
Male,8,200m Butterfly,8,04:59.00
Male,8,50m Backstroke,8,00:46.95
Male,8,100m Backstroke,8,01:43.57
Male,8,200m Backstroke,8,03:49.38
Male,8,200m Individual Medley,8,04:00.35
Male,8,400m Individual Medley,8,08:43.25
Male,8,50m Freestyle,7,00:40.45
Male,8,100m Freestyle,7,01:33.33
Male,8,200m Freestyle,7,03:25.62
Male,8,400m Freestyle,7,07:34.35
Male,8,800m Freestyle,7,15:43.65
Male,8,1500m Freestyle,7,29:59.93
Male,8,50m Breaststroke,7,00:54.27
Male,8,100m Breaststroke,7,02:01.89
Male,8,200m Breaststroke,7,04:31.45
Male,8,50m Butterfly,7,00:47.33
Male,8,100m Butterfly,7,01:50.68
Male,8,200m Butterfly,7,05:02.90
Male,8,50m Backstroke,7,00:47.57
Male,8,100m Backstroke,7,01:44.92
Male,8,200m Backstroke,7,03:52.37
Male,8,200m Individual Medley,7,04:03.49
Male,8,400m Individual Medley,7,08:50.08
Male,8,50m Freestyle,6,00:40.97
Male,8,100m Freestyle,6,01:34.53
Male,8,200m Freestyle,6,03:28.27
Male,8,400m Freestyle,6,07:40.20
Male,8,800m Freestyle,6,15:55.80
Male,8,1500m Freestyle,6,30:23.10
Male,8,50m Breaststroke,6,00:54.96
Male,8,100m Breaststroke,6,02:03.46
Male,8,200m Breaststroke,6,04:34.94
Male,8,50m Butterfly,6,00:47.94
Male,8,100m Butterfly,6,01:52.10
Male,8,200m Butterfly,6,05:06.80
Male,8,50m Backstroke,6,00:48.18
Male,8,100m Backstroke,6,01:46.27
Male,8,200m Backstroke,6,03:55.36
Male,8,200m Individual Medley,6,04:06.62
Male,8,400m Individual Medley,6,08:56.90
Male,8,50m Freestyle,5,00:41.49
Male,8,100m Freestyle,5,01:35.73
Male,8,200m Freestyle,5,03:30.92
Male,8,400m Freestyle,5,07:46.05
Male,8,800m Freestyle,5,16:07.95
Male,8,1500m Freestyle,5,30:46.28
Male,8,50m Breaststroke,5,00:55.66
Male,8,100m Breaststroke,5,02:05.03
Male,8,200m Breaststroke,5,04:38.44
Male,8,50m Butterfly,5,00:48.55
Male,8,100m Butterfly,5,01:53.53
Male,8,200m Butterfly,5,05:10.70
Male,8,50m Backstroke,5,00:48.79
Male,8,100m Backstroke,5,01:47.62
Male,8,200m Backstroke,5,03:58.35
Male,8,200m Individual Medley,5,04:09.76
Male,8,400m Individual Medley,5,09:03.73
Male,8,50m Freestyle,4,00:42.01
Male,8,100m Freestyle,4,01:36.93
Male,8,200m Freestyle,4,03:33.56
Male,8,400m Freestyle,4,07:51.90
Male,8,800m Freestyle,4,16:20.10
Male,8,1500m Freestyle,4,31:09.45
Male,8,50m Breaststroke,4,00:56.36
Male,8,100m Breaststroke,4,02:06.60
Male,8,200m Breaststroke,4,04:41.93
Male,8,50m Butterfly,4,00:49.16
Male,8,100m Butterfly,4,01:54.95
Male,8,200m Butterfly,4,05:14.60
Male,8,50m Backstroke,4,00:49.40
Male,8,100m Backstroke,4,01:48.97
Male,8,200m Backstroke,4,04:01.35
Male,8,200m Individual Medley,4,04:12.89
Male,8,400m Individual Medley,4,09:10.55
Male,8,50m Freestyle,3,00:42.53
Male,8,100m Freestyle,3,01:38.13
Male,8,200m Freestyle,3,03:36.21
Male,8,400m Freestyle,3,07:57.75
Male,8,800m Freestyle,3,16:32.25
Male,8,1500m Freestyle,3,31:32.63
Male,8,50m Breaststroke,3,00:57.06
Male,8,100m Breaststroke,3,02:08.17
Male,8,200m Breaststroke,3,04:45.43
Male,8,50m Butterfly,3,00:49.77
Male,8,100m Butterfly,3,01:56.38
Male,8,200m Butterfly,3,05:18.50
Male,8,50m Backstroke,3,00:50.02
Male,8,100m Backstroke,3,01:50.32
Male,8,200m Backstroke,3,04:04.34
Male,8,200m Individual Medley,3,04:16.03
Male,8,400m Individual Medley,3,09:17.38
Male,8,50m Freestyle,2,00:43.05
Male,8,100m Freestyle,2,01:39.34
Male,8,200m Freestyle,2,03:38.86
Male,8,400m Freestyle,2,08:03.60
Male,8,800m Freestyle,2,16:44.40
Male,8,1500m Freestyle,2,31:55.80
Male,8,50m Breaststroke,2,00:57.76
Male,8,100m Breaststroke,2,02:09.74
Male,8,200m Breaststroke,2,04:48.92
Male,8,50m Butterfly,2,00:50.38
Male,8,100m Butterfly,2,01:57.80
Male,8,200m Butterfly,2,05:22.40
Male,8,50m Backstroke,2,00:50.63
Male,8,100m Backstroke,2,01:51.67
Male,8,200m Backstroke,2,04:07.33
Male,8,200m Individual Medley,2,04:19.16
Male,8,400m Individual Medley,2,09:24.20
Male,8,50m Freestyle,1,00:43.57
Male,8,100m Freestyle,1,01:40.54
Male,8,200m Freestyle,1,03:41.51
Male,8,400m Freestyle,1,08:09.45
Male,8,800m Freestyle,1,16:56.55
Male,8,1500m Freestyle,1,32:18.97
Male,8,50m Breaststroke,1,00:58.46
Male,8,100m Breaststroke,1,02:11.31
Male,8,200m Breaststroke,1,04:52.42
Male,8,50m Butterfly,1,00:50.99
Male,8,100m Butterfly,1,01:59.23
Male,8,200m Butterfly,1,05:26.30
Male,8,50m Backstroke,1,00:51.24
Male,8,100m Backstroke,1,01:53.03
Male,8,200m Backstroke,1,04:10.32
Male,8,200m Individual Medley,1,04:22.29
Male,8,400m Individual Medley,1,09:31.02
Male,9,50m Freestyle,20,00:31.49
Male,9,100m Freestyle,20,01:10.51
Male,9,200m Freestyle,20,02:34.95
Male,9,400m Freestyle,20,05:32.69
Male,9,800m Freestyle,20,11:38.40
Male,9,1500m Freestyle,20,22:08.90
Male,9,50m Breaststroke,20,00:50.83
Male,9,100m Breaststroke,20,01:31.66
Male,9,200m Breaststroke,20,03:19.92
Male,9,50m Butterfly,20,00:35.51
Male,9,100m Butterfly,20,01:21.48
Male,9,200m Butterfly,20,03:29.52
Male,9,50m Backstroke,20,00:36.86
Male,9,100m Backstroke,20,01:21.22
Male,9,200m Backstroke,20,02:52.50
Male,9,200m Individual Medley,20,02:55.26
Male,9,400m Individual Medley,20,06:28.00
Male,9,50m Freestyle,19,00:31.97
Male,9,100m Freestyle,19,01:11.60
Male,9,200m Freestyle,19,02:37.34
Male,9,400m Freestyle,19,05:37.84
Male,9,800m Freestyle,19,11:49.20
Male,9,1500m Freestyle,19,22:29.45
Male,9,50m Butterfly,19,00:36.06
Male,9,100m Butterfly,19,01:22.74
Male,9,200m Butterfly,19,03:32.76
Male,9,50m Backstroke,19,00:37.43
Male,9,100m Backstroke,19,01:22.47
Male,9,200m Backstroke,19,02:55.16
Male,9,200m Individual Medley,19,02:57.97
Male,9,400m Individual Medley,19,06:34.00
Male,9,50m Freestyle,18,00:32.46
Male,9,100m Freestyle,18,01:12.69
Male,9,200m Freestyle,18,02:39.74
Male,9,400m Freestyle,18,05:42.98
Male,9,800m Freestyle,18,12:00.00
Male,9,1500m Freestyle,18,22:50.00
Male,9,50m Breaststroke,18,00:52.40
Male,9,100m Breaststroke,18,01:34.49
Male,9,200m Breaststroke,18,03:26.10
Male,9,50m Butterfly,18,00:36.61
Male,9,100m Butterfly,18,01:24.00
Male,9,200m Butterfly,18,03:36.00
Male,9,50m Backstroke,18,00:38.00
Male,9,100m Backstroke,18,01:23.73
Male,9,200m Backstroke,18,02:57.83
Male,9,200m Individual Medley,18,03:00.68
Male,9,400m Individual Medley,18,06:40.00
Male,9,50m Freestyle,17,00:32.95
Male,9,100m Freestyle,17,01:13.78
Male,9,200m Freestyle,17,02:42.14
Male,9,400m Freestyle,17,05:48.12
Male,9,800m Freestyle,17,12:10.80
Male,9,1500m Freestyle,17,23:10.55
Male,9,50m Breaststroke,17,00:53.19
Male,9,100m Breaststroke,17,01:35.91
Male,9,200m Breaststroke,17,03:29.19
Male,9,50m Butterfly,17,00:37.16
Male,9,100m Butterfly,17,01:25.26
Male,9,200m Butterfly,17,03:39.24
Male,9,50m Backstroke,17,00:38.57
Male,9,100m Backstroke,17,01:24.99
Male,9,200m Backstroke,17,03:00.50
Male,9,200m Individual Medley,17,03:03.39
Male,9,400m Individual Medley,17,06:46.00
Male,9,50m Freestyle,16,00:33.43
Male,9,100m Freestyle,16,01:14.87
Male,9,200m Freestyle,16,02:44.53
Male,9,400m Freestyle,16,05:53.27
Male,9,800m Freestyle,16,12:21.60
Male,9,1500m Freestyle,16,23:31.10
Male,9,50m Breaststroke,16,00:53.97
Male,9,100m Breaststroke,16,01:37.32
Male,9,200m Breaststroke,16,03:32.28
Male,9,50m Butterfly,16,00:37.71
Male,9,100m Butterfly,16,01:26.52
Male,9,200m Butterfly,16,03:42.48
Male,9,50m Backstroke,16,00:39.14
Male,9,100m Backstroke,16,01:26.24
Male,9,200m Backstroke,16,03:03.16
Male,9,200m Individual Medley,16,03:06.10
Male,9,400m Individual Medley,16,06:52.00
Male,9,50m Freestyle,15,00:33.92
Male,9,100m Freestyle,15,01:15.96
Male,9,200m Freestyle,15,02:46.93
Male,9,400m Freestyle,15,05:58.41
Male,9,800m Freestyle,15,12:32.40
Male,9,1500m Freestyle,15,23:51.65
Male,9,50m Breaststroke,15,00:54.76
Male,9,100m Breaststroke,15,01:38.74
Male,9,200m Breaststroke,15,03:35.37
Male,9,50m Butterfly,15,00:38.26
Male,9,100m Butterfly,15,01:27.78
Male,9,200m Butterfly,15,03:45.72
Male,9,50m Backstroke,15,00:39.71
Male,9,100m Backstroke,15,01:27.50
Male,9,200m Backstroke,15,03:05.83
Male,9,200m Individual Medley,15,03:08.81
Male,9,400m Individual Medley,15,06:58.00
Male,9,50m Freestyle,14,00:34.41
Male,9,100m Freestyle,14,01:17.05
Male,9,200m Freestyle,14,02:49.32
Male,9,400m Freestyle,14,06:03.56
Male,9,800m Freestyle,14,12:43.20
Male,9,1500m Freestyle,14,24:12.20
Male,9,50m Breaststroke,14,00:55.54
Male,9,100m Breaststroke,14,01:40.16
Male,9,200m Breaststroke,14,03:38.47
Male,9,50m Butterfly,14,00:38.81
Male,9,100m Butterfly,14,01:29.04
Male,9,200m Butterfly,14,03:48.96
Male,9,50m Backstroke,14,00:40.28
Male,9,100m Backstroke,14,01:28.75
Male,9,200m Backstroke,14,03:08.50
Male,9,200m Individual Medley,14,03:11.52
Male,9,400m Individual Medley,14,07:04.00
Male,9,50m Freestyle,13,00:34.89
Male,9,100m Freestyle,13,01:18.14
Male,9,200m Freestyle,13,02:51.72
Male,9,400m Freestyle,13,06:08.70
Male,9,800m Freestyle,13,12:54.00
Male,9,1500m Freestyle,13,24:32.75
Male,9,50m Breaststroke,13,00:56.33
Male,9,100m Breaststroke,13,01:41.58
Male,9,200m Breaststroke,13,03:41.56
Male,9,50m Butterfly,13,00:39.36
Male,9,100m Butterfly,13,01:30.30
Male,9,200m Butterfly,13,03:52.20
Male,9,50m Backstroke,13,00:40.85
Male,9,100m Backstroke,13,01:30.01
Male,9,200m Backstroke,13,03:11.17
Male,9,200m Individual Medley,13,03:14.23
Male,9,400m Individual Medley,13,07:10.00
Male,9,50m Freestyle,12,00:35.38
Male,9,100m Freestyle,12,01:19.23
Male,9,200m Freestyle,12,02:54.12
Male,9,400m Freestyle,12,06:13.85
Male,9,800m Freestyle,12,13:04.80
Male,9,1500m Freestyle,12,24:53.30
Male,9,50m Breaststroke,12,00:57.12
Male,9,100m Breaststroke,12,01:42.99
Male,9,200m Breaststroke,12,03:44.65
Male,9,50m Butterfly,12,00:39.90
Male,9,100m Butterfly,12,01:31.56
Male,9,200m Butterfly,12,03:55.44
Male,9,50m Backstroke,12,00:41.42
Male,9,100m Backstroke,12,01:31.27
Male,9,200m Backstroke,12,03:13.83
Male,9,200m Individual Medley,12,03:16.94
Male,9,400m Individual Medley,12,07:16.00
Male,9,50m Freestyle,11,00:35.87
Male,9,100m Freestyle,11,01:20.32
Male,9,200m Freestyle,11,02:56.51
Male,9,400m Freestyle,11,06:18.99
Male,9,800m Freestyle,11,13:15.60
Male,9,1500m Freestyle,11,25:13.85
Male,9,50m Breaststroke,11,00:57.90
Male,9,100m Breaststroke,11,01:44.41
Male,9,200m Breaststroke,11,03:47.74
Male,9,50m Butterfly,11,00:40.45
Male,9,100m Butterfly,11,01:32.82
Male,9,200m Butterfly,11,03:58.68
Male,9,50m Backstroke,11,00:41.99
Male,9,100m Backstroke,11,01:32.52
Male,9,200m Backstroke,11,03:16.50
Male,9,200m Individual Medley,11,03:19.65
Male,9,400m Individual Medley,11,07:22.00
Male,9,50m Freestyle,10,00:36.36
Male,9,100m Freestyle,10,01:21.41
Male,9,200m Freestyle,10,02:58.91
Male,9,400m Freestyle,10,06:24.14
Male,9,800m Freestyle,10,13:26.40
Male,9,1500m Freestyle,10,25:34.40
Male,9,50m Breaststroke,10,00:58.69
Male,9,100m Breaststroke,10,01:45.83
Male,9,200m Breaststroke,10,03:50.83
Male,9,50m Butterfly,10,00:41.00
Male,9,100m Butterfly,10,01:34.08
Male,9,200m Butterfly,10,04:01.92
Male,9,50m Backstroke,10,00:42.56
Male,9,100m Backstroke,10,01:33.78
Male,9,200m Backstroke,10,03:19.17
Male,9,200m Individual Medley,10,03:22.36
Male,9,400m Individual Medley,10,07:28.00
Male,9,50m Freestyle,9,00:36.84
Male,9,100m Freestyle,9,01:22.50
Male,9,200m Freestyle,9,03:01.30
Male,9,400m Freestyle,9,06:29.28
Male,9,800m Freestyle,9,13:37.20
Male,9,1500m Freestyle,9,25:54.95
Male,9,50m Breaststroke,9,00:59.47
Male,9,100m Breaststroke,9,01:47.25
Male,9,200m Breaststroke,9,03:53.92
Male,9,50m Butterfly,9,00:41.55
Male,9,100m Butterfly,9,01:35.34
Male,9,200m Butterfly,9,04:05.16
Male,9,50m Backstroke,9,00:43.13
Male,9,100m Backstroke,9,01:35.03
Male,9,200m Backstroke,9,03:21.84
Male,9,200m Individual Medley,9,03:25.07
Male,9,400m Individual Medley,9,07:34.00
Male,9,50m Freestyle,8,00:37.33
Male,9,100m Freestyle,8,01:23.59
Male,9,200m Freestyle,8,03:03.70
Male,9,400m Freestyle,8,06:34.43
Male,9,800m Freestyle,8,13:48.00
Male,9,1500m Freestyle,8,26:15.50
Male,9,50m Breaststroke,8,01:00.26
Male,9,100m Breaststroke,8,01:48.66
Male,9,200m Breaststroke,8,03:57.01
Male,9,50m Butterfly,8,00:42.10
Male,9,100m Butterfly,8,01:36.60
Male,9,200m Butterfly,8,04:08.40
Male,9,50m Backstroke,8,00:43.70
Male,9,100m Backstroke,8,01:36.29
Male,9,200m Backstroke,8,03:24.50
Male,9,200m Individual Medley,8,03:27.78
Male,9,400m Individual Medley,8,07:40.00
Male,9,50m Freestyle,7,00:37.82
Male,9,100m Freestyle,7,01:24.68
Male,9,200m Freestyle,7,03:06.10
Male,9,400m Freestyle,7,06:39.57
Male,9,800m Freestyle,7,13:58.80
Male,9,1500m Freestyle,7,26:36.05
Male,9,50m Breaststroke,7,01:01.05
Male,9,100m Breaststroke,7,01:50.08
Male,9,200m Breaststroke,7,04:00.11
Male,9,50m Butterfly,7,00:42.65
Male,9,100m Butterfly,7,01:37.86
Male,9,200m Butterfly,7,04:11.64
Male,9,50m Backstroke,7,00:44.27
Male,9,100m Backstroke,7,01:37.55
Male,9,200m Backstroke,7,03:27.17
Male,9,200m Individual Medley,7,03:30.49
Male,9,400m Individual Medley,7,07:46.00
Male,9,50m Freestyle,6,00:38.30
Male,9,100m Freestyle,6,01:25.77
Male,9,200m Freestyle,6,03:08.49
Male,9,400m Freestyle,6,06:44.72
Male,9,800m Freestyle,6,14:09.60
Male,9,1500m Freestyle,6,26:56.60
Male,9,50m Breaststroke,6,01:01.83
Male,9,100m Breaststroke,6,01:51.50
Male,9,200m Breaststroke,6,04:03.20
Male,9,50m Butterfly,6,00:43.20
Male,9,100m Butterfly,6,01:39.12
Male,9,200m Butterfly,6,04:14.88
Male,9,50m Backstroke,6,00:44.84
Male,9,100m Backstroke,6,01:38.80
Male,9,200m Backstroke,6,03:29.84
Male,9,200m Individual Medley,6,03:33.20
Male,9,400m Individual Medley,6,07:52.00
Male,9,50m Freestyle,5,00:38.79
Male,9,100m Freestyle,5,01:26.86
Male,9,200m Freestyle,5,03:10.89
Male,9,400m Freestyle,5,06:49.86
Male,9,800m Freestyle,5,14:20.40
Male,9,1500m Freestyle,5,27:17.15
Male,9,50m Breaststroke,5,01:02.62
Male,9,100m Breaststroke,5,01:52.92
Male,9,200m Breaststroke,5,04:06.29
Male,9,50m Butterfly,5,00:43.75
Male,9,100m Butterfly,5,01:40.38
Male,9,200m Butterfly,5,04:18.12
Male,9,50m Backstroke,5,00:45.41
Male,9,100m Backstroke,5,01:40.06
Male,9,200m Backstroke,5,03:32.51
Male,9,200m Individual Medley,5,03:35.91
Male,9,400m Individual Medley,5,07:58.00
Male,9,50m Freestyle,4,00:39.28
Male,9,100m Freestyle,4,01:27.95
Male,9,200m Freestyle,4,03:13.29
Male,9,400m Freestyle,4,06:55.01
Male,9,800m Freestyle,4,14:31.20
Male,9,1500m Freestyle,4,27:37.70
Male,9,50m Breaststroke,4,01:03.40
Male,9,100m Breaststroke,4,01:54.33
Male,9,200m Breaststroke,4,04:09.38
Male,9,50m Butterfly,4,00:44.30
Male,9,100m Butterfly,4,01:41.64
Male,9,200m Butterfly,4,04:21.36
Male,9,50m Backstroke,4,00:45.98
Male,9,100m Backstroke,4,01:41.31
Male,9,200m Backstroke,4,03:35.17
Male,9,200m Individual Medley,4,03:38.62
Male,9,400m Individual Medley,4,08:04.00
Male,9,50m Freestyle,3,00:39.76
Male,9,100m Freestyle,3,01:29.05
Male,9,200m Freestyle,3,03:15.68
Male,9,400m Freestyle,3,07:00.15
Male,9,800m Freestyle,3,14:42.00
Male,9,1500m Freestyle,3,27:58.25
Male,9,50m Breaststroke,3,01:04.19
Male,9,100m Breaststroke,3,01:55.75
Male,9,200m Breaststroke,3,04:12.47
Male,9,50m Butterfly,3,00:44.85
Male,9,100m Butterfly,3,01:42.90
Male,9,200m Butterfly,3,04:24.60
Male,9,50m Backstroke,3,00:46.55
Male,9,100m Backstroke,3,01:42.57
Male,9,200m Backstroke,3,03:37.84
Male,9,200m Individual Medley,3,03:41.33
Male,9,400m Individual Medley,3,08:10.00
Male,9,50m Freestyle,2,00:40.25
Male,9,100m Freestyle,2,01:30.14
Male,9,200m Freestyle,2,03:18.08
Male,9,400m Freestyle,2,07:05.30
Male,9,800m Freestyle,2,14:52.80
Male,9,1500m Freestyle,2,28:18.80
Male,9,50m Breaststroke,2,01:04.98
Male,9,100m Breaststroke,2,01:57.17
Male,9,200m Breaststroke,2,04:15.56
Male,9,50m Butterfly,2,00:45.40
Male,9,100m Butterfly,2,01:44.16
Male,9,200m Butterfly,2,04:27.84
Male,9,50m Backstroke,2,00:47.12
Male,9,100m Backstroke,2,01:43.83
